date, pm25, pm10, o3, no2, co
2024/11/1, 61, 16, 30, 4, 1
2024/11/2, 26, 19, 14, 7, 2
2024/11/3, 46, 19, 11, 7, 2
2024/11/4, 50, 26, 5, 10, 2
2024/11/5, 60, 40, 1, 14, 3
2024/11/6, 97, 36, 5, 12, 2
2024/11/7, 91, , , , 
2024/10/1, 15, 9, 24, 5, 2
2024/10/2, 27, 9, 29, 5, 1
2024/10/3, 16, 10, 28, 8, 2
2024/10/4, 32, 12, 29, 7, 2
2024/10/5, 34, 12, 18, 5, 2
2024/10/6, 31, 11, 25, 7, 1
2024/10/7, 24, 9, 25, 5, 1
2024/10/8, 21, 7, 20, 4, 1
2024/10/9, 11, 11, 28, 6, 1
2024/10/10, 18, 8, 25, 8, 1
2024/10/11, 22, 12, 14, 9, 2
2024/10/12, 40, 12, 28, 2, 1
2024/10/13, 20, 13, 15, 11, 2
2024/10/14, 29, 11, 20, 6, 1
2024/10/15, 32, 12, 14, 6, 2
2024/10/16, 36, 10, 16, 8, 2
2024/10/17, 23, 16, 11, 12, 2
2024/10/18, 47, 14, 17, 9, 2
2024/10/19, 36, 10, 23, 2, 1
2024/10/20, 26, 17, 25, 9, 1
2024/10/21, 32, 13, 20, 9, 1
2024/10/22, 26, 19, 9, 11, 2
2024/10/23, 47, 21, 12, 9, 2
2024/10/24, 54, 16, 10, 8, 2
2024/10/25, 43, 16, 8, 9, 3
2024/10/26, 46, 14, 25, 6, 1
2024/10/27, 23, 16, 17, 11, 2
2024/10/28, 30, 8, 14, 7, 1
2024/10/29, 22, 9, 12, 8, 1
2024/10/30, 18, 16, 15, 10, 1
2024/10/31, 36, 24, 13, 13, 2
2024/7/1, 16, 12, 26, 3, 1
2024/7/2, 24, 8, 32, 3, 1
2024/7/3, 11, 13, 32, 2, 1
2024/7/4, 18, 16, 26, 7, 1
2024/7/5, 46, 10, 31, 3, 2
2024/7/6, 13, 9, 24, 3, 1
2024/7/7, 13, 11, 29, 5, 2
2024/7/8, 16, 15, 39, 5, 1
2024/7/9, 30, 10, 28, 4, 
2024/7/10, 23, 10, 28, 4, 
2024/7/11, 11, 8, 21, 5, 
2024/7/12, 15, 6, 24, 2, 
2024/7/13, 7, 11, 34, 4, 
2024/7/14, 22, 11, 42, 5, 
2024/7/15, 24, 14, 34, 3, 
2024/7/16, 25, 11, 31, 2, 
2024/7/17, 28, 16, 43, 8, 1
2024/7/18, 45, 16, 51, 5, 1
2024/7/19, 45, 17, 67, 4, 1
2024/7/20, 37, 11, 23, 8, 1
2024/7/21, 28, 12, 27, 4, 
2024/7/22, 23, 13, 24, 4, 
2024/7/23, 22, 12, 24, 5, 
2024/7/24, 27, 13, 27, 4, 
2024/7/25, 29, 10, 27, 2, 
2024/7/26, 21, 12, 30, 4, 
2024/7/27, 23, 12, 31, 4, 
2024/7/28, 26, 14, 38, 3, 
2024/7/29, 30, 16, 60, 5, 
2024/7/30, 34, 12, 44, 2, 
2024/7/31, 27, 14, 31, 2, 
2024/8/1, 17, 18, 40, 3, 
2024/8/2, 24, 18, 31, 4, 
2024/8/3, 33, 13, 27, 3, 
2024/8/4, 20, 20, 36, 4, 
2024/8/5, 32, 20, 47, 4, 
2024/8/6, 35, 10, 34, 2, 
2024/8/7, 10, 17, 40, 3, 
2024/8/8, 25, 13, 33, 2, 
2024/8/9, 17, 18, 29, 4, 
2024/8/10, 20, 14, 40, 3, 
2024/8/11, 34, 16, 71, 4, 
2024/8/12, 30, 21, 33, 7, 1
2024/8/13, 35, 15, 16, 10, 1
2024/8/14, 30, 16, 34, 4, 
2024/8/15, 34, 7, 26, 3, 
2024/8/16, 17, 11, 40, 5, 
2024/8/17, 26, 13, 38, 7, 
2024/8/18, 31, 13, 39, 4, 
2024/8/19, 33, 18, 26, 5, 1
2024/8/20, 39, 13, 29, 2, 1
2024/8/21, 21, 17, 30, 4, 1
2024/8/22, 30, 12, 32, 2, 2
2024/8/23, 20, 9, 29, 4, 1
